countyfips,population
01001,52612.0
01003,175270.0
01005,27972.0
01007,22404.0
01009,56697.0
01011,10891.0
01013,20762.0
01015,116348.0
01017,34606.0
01019,25503.0
01021,42984.0
01023,14127.0
01025,26283.0
01027,13992.0
01029,14771.0
01031,48077.0
01033,54470.0
01035,13343.0
01037,11320.0
01039,37493.0
01041,13897.0
01043,80016.0
01045,49493.0
01047,43862.0
01049,69707.0
01051,77486.0
01053,37886.0
01055,103911.0
01057,17505.0
01059,31289.0
01061,26428.0
01063,9244.0
01065,16427.0
01067,17062.0
01069,98664.0
01071,53323.0
01073,657520.0
01075,14693.0
01077,91245.0
01079,34178.0
01081,134311.0
01083,77931.0
01085,11874.0
01087,21782.0
01089,321377.0
01091,21269.0
01093,30595.0
01095,90400.0
01097,407799.0
01099,23243.0
01101,227620.0
01103,117180.0
01105,10670.0
01107,19846.0
01109,31818.0
01111,22758.0
01113,51584.0
01115,80094.0
01117,186955.0
01119,13776.0
01121,81993.0
01123,41398.0
01125,186665.0
01127,67797.0
01129,17479.0
01131,12101.0
01133,24607.0
02013,3094.0
02016,5611.0
02020,283421.0
02050,16912.0
02060,989.0
02068,1686.0
02070,4847.0
02090,94801.0
02100,2312.0
02105,2142.0
02110,31033.0
02122,53763.0
02130,13376.0
02150,13328.0
02164,1568.0
02170,83785.0
02180,9341.0
02185,8521.0
02188,7488.0
02195,3851.0
02198,5493.0
02220,8889.0
02230,1033.0
02232,1033.0
02240,6914.0
02261,9600.0
02270,7437.0
02275,2328.0
02282,622.0
02290,5680.0
04001,70150.0
04003,128990.0
04005,131016.0
04007,53024.0
04009,35737.0
04011,8244.0
04012,20480.0
04013,3767575.0
04015,198582.0
04017,107504.0
04019,967783.0
04021,322615.0
04023,45452.0
04025,209258.0
04027,190333.0
05001,19339.0
05003,22160.0
05005,41378.0
05007,209746.0
05009,36683.0
05011,11693.0
05013,5516.0
05015,26985.0
05017,12138.0
05019,23162.0
05021,16259.0
05023,25603.0
05025,8762.0
05027,24706.0
05029,20974.0
05031,92991.0
05033,60399.0
05035,50813.0
05037,18246.0
05039,8277.0
05041,13401.0
05043,18583.0
05045,107816.0
05047,18157.0
05049,12203.0
05051,95458.0
05053,17638.0
05055,41167.0
05057,22792.0
05059,32531.0
05061,13848.0
05063,35755.0
05065,13536.0
05067,17866.0
05069,78542.0
05071,25094.0
05073,7760.0
05075,17263.0
05077,10736.0
05079,14142.0
05081,13086.0
05083,22590.0
05085,65407.0
05087,15488.0
05089,16767.0
05091,43023.0
05093,46780.0
05095,8520.0
05099,9181.0
05101,8381.0
05103,26235.0
05105,10412.0
05107,22364.0
05109,11212.0
05111,24716.0
05113,20411.0
05115,60225.0
05117,8827.0
05119,376766.0
05121,18061.0
05123,28051.0
05125,101325.0
05127,11222.0
05129,8189.0
05131,123447.0
05133,16600.0
05135,17477.0
05137,12283.0
05139,42316.0
05141,17107.0
05143,196755.0
05145,74713.0
05147,7544.0
05149,21851.0
06001,1474642.0
06003,1206.0
06005,38247.0
06007,218470.0
06009,46060.0
06011,21127.0
06013,1023368.0
06015,28483.0
06017,178419.0
06019,905735.0
06021,27911.0
06023,132388.0
06025,166562.0
