fips,state,county,name
01001,AL,AUTAUGA,"Autauga County, Alabama"
01003,AL,BALDWIN,"Baldwin County, Alabama"
01005,AL,BARBOUR,"Barbour County, Alabama"
01007,AL,BIBB,"Bibb County, Alabama"
01009,AL,BLOUNT,"Blount County, Alabama"
01011,AL,BULLOCK,"Bullock County, Alabama"
01013,AL,BUTLER,"Butler County, Alabama"
01015,AL,CALHOUN,"Calhoun County, Alabama"
01017,AL,CHAMBERS,"Chambers County, Alabama"
01019,AL,CHEROKEE,"Cherokee County, Alabama"
01021,AL,CHILTON,"Chilton County, Alabama"
01023,AL,CHOCTAW,"Choctaw County, Alabama"
01025,AL,CLARKE,"Clarke County, Alabama"
01027,AL,CLAY,"Clay County, Alabama"
01029,AL,CLEBURNE,"Cleburne County, Alabama"
01031,AL,COFFEE,"Coffee County, Alabama"
01033,AL,COLBERT,"Colbert County, Alabama"
01035,AL,CONECUH,"Conecuh County, Alabama"
01037,AL,COOSA,"Coosa County, Alabama"
01039,AL,COVINGTON,"Covington County, Alabama"
01041,AL,CRENSHAW,"Crenshaw County, Alabama"
01043,AL,CULLMAN,"Cullman County, Alabama"
01045,AL,DALE,"Dale County, Alabama"
01047,AL,DALLAS,"Dallas County, Alabama"
01049,AL,DE KALB,"DeKalb County, Alabama"
01051,AL,ELMORE,"Elmore County, Alabama"
01053,AL,ESCAMBIA,"Escambia County, Alabama"
01055,AL,ETOWAH,"Etowah County, Alabama"
01057,AL,FAYETTE,"Fayette County, Alabama"
01059,AL,FRANKLIN,"Franklin County, Alabama"
01061,AL,GENEVA,"Geneva County, Alabama"
01063,AL,GREENE,"Greene County, Alabama"
01065,AL,HALE,"Hale County, Alabama"
01067,AL,HENRY,"Henry County, Alabama"
01069,AL,HOUSTON,"Houston County, Alabama"
01071,AL,JACKSON,"Jackson County, Alabama"
01073,AL,JEFFERSON,"Jefferson County, Alabama"
01075,AL,LAMAR,"Lamar County, Alabama"
01077,AL,LAUDERDALE,"Lauderdale County, Alabama"
01079,AL,LAWRENCE,"Lawrence County, Alabama"
01081,AL,LEE,"Lee County, Alabama"
01083,AL,LIMESTONE,"Limestone County, Alabama"
01085,AL,LOWNDES,"Lowndes County, Alabama"
01087,AL,MACON,"Macon County, Alabama"
01089,AL,MADISON,"Madison County, Alabama"
01091,AL,MARENGO,"Marengo County, Alabama"
01093,AL,MARION,"Marion County, Alabama"
01095,AL,MARSHALL,"Marshall County, Alabama"
01097,AL,MOBILE,"Mobile County, Alabama"
01099,AL,MONROE,"Monroe County, Alabama"
01101,AL,MONTGOMERY,"Montgomery County, Alabama"
01103,AL,MORGAN,"Morgan County, Alabama"
01105,AL,PERRY,"Perry County, Alabama"
01107,AL,PICKENS,"Pickens County, Alabama"
01109,AL,PIKE,"Pike County, Alabama"
01111,AL,RANDOLPH,"Randolph County, Alabama"
01113,AL,RUSSELL,"Russell County, Alabama"
01115,AL,SAINT CLAIR,"St. Clair County, Alabama"
01117,AL,SHELBY,"Shelby County, Alabama"
01119,AL,SUMTER,"Sumter County, Alabama"
01121,AL,TALLADEGA,"Talladega County, Alabama"
01123,AL,TALLAPOOSA,"Tallapoosa County, Alabama"
01125,AL,TUSCALOOSA,"Tuscaloosa County, Alabama"
01127,AL,WALKER,"Walker County, Alabama"
01129,AL,WASHINGTON,"Washington County, Alabama"
01131,AL,WILCOX,"Wilcox County, Alabama"
01133,AL,WINSTON,"Winston County, Alabama"
02013,AK,ALEUTIANS EAST,"Aleutians East Borough, Alaska"
02016,AK,ALEUTIANS WEST,"Aleutians West Census Area, Alaska"
02020,AK,ANCHORAGE,"Anchorage Municipality, Alaska"
02050,AK,BETHEL,"Bethel Census Area, Alaska"
02068,AK,DENALI,"Denali Borough, Alaska"
02090,AK,FAIRBANKS NORTH STAR,"Fairbanks North Star Borough, Alaska"
02100,AK,HAINES,"Haines Borough, Alaska"
02110,AK,JUNEAU,"Juneau City and Borough, Alaska"
02122,AK,KENAI PENINSULA,"Kenai Peninsula Borough, Alaska"
02130,AK,KETCHIKAN GATEWAY,"Ketchikan Gateway Borough, Alaska"
02150,AK,KODIAK ISLAND,"Kodiak Island Borough, Alaska"
02170,AK,MATANUSKA SUSITNA,"Matanuska-Susitna Borough, Alaska"
02180,AK,NOME,"Nome Census Area, Alaska"
02185,AK,NORTH SLOPE,"North Slope Borough, Alaska"
