countyfips,avg_pills_per_person
01001,57.7
01003,56.7
01005,40.9
01007,47.2
01009,30.0
01011,25.1
01013,51.9
01015,61.9
01017,55.8
01019,68.3
01021,48.1
01023,53.9
01025,48.3
01027,47.0
01029,22.6
01031,47.2
01033,85.2
01035,67.4
01037,16.1
01039,68.8
01041,35.0
01043,61.9
01045,36.7
01047,32.5
01049,49.4
01051,42.0
01053,59.7
01055,75.8
01057,40.2
01059,90.4
01061,42.0
01063,13.9
01065,26.8
01067,27.5
01069,54.2
01071,75.3
01073,53.8
01075,53.2
01077,52.9
01079,48.2
01081,19.8
01083,38.4
01085,12.5
01087,18.8
01089,54.6
01091,40.2
01093,108.1
01095,77.1
01097,52.6
01099,39.0
01101,35.8
01103,61.3
01105,16.6
01107,28.8
01109,41.0
01111,43.1
01113,54.5
01115,39.2
01117,43.0
01119,20.4
01121,57.4
01123,37.1
01125,38.0
01127,140.0
01129,9.1
01131,11.7
01133,84.5
02013,0.1
02016,5.0
02020,31.4
02050,0.2
02068,1.3
02090,25.3
02100,25.2
02110,27.4
02122,45.2
02130,43.1
02150,19.9
02170,41.1
02180,0.0
02185,0.1
02188,0.1
02195,23.1
02198,18.3
02220,27.4
02230,0.8
02240,12.0
02261,26.3
02275,17.1
04001,9.4
04003,41.7
04005,25.6
04007,56.8
04009,58.3
04011,11.5
04012,41.6
04013,38.0
04015,74.0
04017,31.4
04019,44.5
04021,31.3
04023,15.7
04025,48.3
04027,24.3
05001,52.3
05003,38.2
05005,52.1
05007,37.4
05009,52.0
05011,32.2
05013,39.6
05015,62.3
05017,57.5
05019,46.4
05021,40.3
05023,43.0
05025,2.2
05027,36.6
05029,49.1
05031,52.3
05033,62.1
05035,38.3
05037,29.7
05039,35.2
05041,37.8
05043,34.0
05045,32.0
05047,52.2
05049,63.7
05051,65.5
05053,31.7
05055,64.4
05057,45.3
05059,33.9
05061,49.9
05063,61.9
05065,85.5
05067,45.5
05069,25.1
05071,48.4
05073,30.5
05075,48.4
05077,18.5
05079,14.5
05081,49.1
05083,47.2
05085,34.6
05087,32.4
05089,41.7
05091,51.4
05093,47.4
05095,25.7
05099,27.0
05101,14.5
05103,49.3
05105,29.8
05107,62.8
05109,74.8
05111,58.6
05113,57.2
05115,39.4
05117,24.3
05119,42.5
05121,30.9
05123,25.2
05125,41.0
05127,65.9
05129,32.7
05131,73.8
05133,45.1
05135,48.8
05137,52.4
05139,50.0
05141,39.5
05143,36.3
05145,38.5
05147,57.3
05149,42.9
06001,59.8
06003,1.1
06005,67.7
06007,82.6
06009,59.9
06011,37.2
06013,31.8
06015,80.3
06017,43.7
06019,34.2
06021,55.4
06023,76.2
06025,20.4
06027,44.7
06029,34.4
06031,32.9
06033,97.3
06035,77.2
06037,21.9
06039,28.8
06041,31.1
06043,28.5
06045,63.5
06047,32.7
06049,70.4
06051,17.5
06053,29.0
06055,33.0
06057,53.0
06059,24.4
06061,53.5
06063,77.4
06065,30.8
06067,45.4
06069,22.1
06071,30.9
06073,28.8
06075,23.1
06077,39.9
06079,41.4
06081,22.2
06083,34.2
06085,16.7
06087,36.2
06089,94.5
06091,30.4
06093,65.2
06095,36.3
06097,39.1
06099,61.1
06101,69.3
06103,67.3
06105,76.2
06107,38.0
06109,84.6
06111,28.0
06113,30.5
06115,59.3
08001,25.8
08003,88.0
08005,25.8
08007,17.5
08009,20.7
08011,25.8
08013,25.5
08014,40.5
08015,45.6
08017,22.3
08019,24.0
08021,34.3
08025,30.6
08027,0.2
08029,46.1
08031,18.8
08035,20.4
08037,26.0
08039,12.3
08041,30.0
08043,41.9
08045,34.8
08047,8.6
08049,26.1
08051,19.8
08053,1.6
08055,50.6
08059,38.4
08061,37.3
08063,16.6
08065,29.1
08067,25.7
08069,31.3
08071,48.4
08073,41.0
08075,31.3
08077,37.7
08079,0.1
08081,41.6
08083,40.0
08085,33.4
08087,30.1
08089,66.9
08091,24.7
08093,7.3
08095,13.9
08097,14.1
08099,42.5
08101,68.2
08103,21.3
08105,29.4
08107,28.8
08109,0.1
08111,0.1
08113,10.4
08115,38.0
08117,26.6
08119,46.0
08121,8.5
08123,29.4
08125,22.2
09001,21.0
09003,25.6
09005,31.1
09007,29.2
09009,33.8
09011,31.0
09013,19.5
09015,31.9
10001,40.7
10003,39.9
10005,62.2
11001,14.2
12001,37.3
12003,78.3
12005,56.1
12007,55.5
12009,48.7
12011,46.7
12013,26.2
12015,52.2
12017,52.9
12019,53.8
12021,31.6
12023,58.6
12027,26.3
12029,18.4
12031,50.5
12033,51.8
12035,40.1
12037,32.1
12039,20.5
12041,30.0
12043,10.1
12045,37.4
12047,18.2
12049,20.1
12051,36.5
12053,71.1
12055,31.5
12057,67.7
12059,37.0
12061,44.3
12063,35.7
12065,22.1
12067,24.3
12069,38.0
12071,43.0
12073,25.5
12075,60.7
12077,14.6
12079,23.6
12081,52.6
12083,45.9
12085,39.2
12086,14.1
12087,60.0
12089,60.7
12091,38.4
12093,55.8
12095,37.5
12097,31.5
12099,43.1
12101,61.2
12103,61.4
12105,37.5
12107,69.5
12109,34.4
12111,34.6
12113,52.2
12115,49.3
12117,43.4
12119,35.7
12121,36.5
12123,48.9
12125,26.7
12127,52.1
12129,31.9
12131,60.6
12133,66.0
13001,43.9
13003,50.4
13005,102.9
13007,0.3
13009,36.4
13011,28.7
13013,46.5
13015,48.8
13017,52.1
13019,38.3
13021,69.8
13023,50.2
13025,33.0
13027,59.3
13029,46.9
13031,26.8
13033,22.2
13035,42.5
13037,13.9
13039,45.8
13043,41.8
13045,63.9
13047,58.1
13049,35.2
13051,33.0
13055,63.4
13057,29.3
13059,49.4
13061,34.9
13063,20.2
13065,72.7
13067,27.4
